Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
0,The Night Agent,TV Show,2023.0,Action,"812,100,000",812.1
0,Ginny & Georgia,TV Show,2021.0,Drama,"665,100,000",665.1
0,The Glory,TV Show,2022.0,Thriller,"622,800,000",622.8
0,Wednesday,TV Show,2022.0,Fantasy,"507,700,000",507.7
0,Queen Charlotte: A Bridgerton Story,TV Show,2023.0,Drama,"503,000,000",503.0
0,You,TV Show,2018.0,Crime,"440,600,000",440.6
0,La Reina del Sur,TV Show,2011.0,Drama,"429,600,000",429.6
0,Outer Banks,TV Show,2020.0,Drama,"402,500,000",402.5
0,Ginny & Georgia,TV Show,2021.0,Drama,"302,100,000",302.1
0,FUBAR,TV Show,2023.0,Action,"266,200,000",266.2
0,Manifest,TV Show,2018.0,Thriller,"262,600,000",262.6
0,Kaleidoscope,TV Show,2023.0,Crime,"252,500,000",252.5
0,Firefly Lane,TV Show,2021.0,Drama,"251,500,000",251.5
0,The Mother,Movie,2023.0,Thriller,"249,900,000",249.9
0,Physical: 100,TV Show,2023.0,Reality-Show,"235,000,000",235.0
0,Crash Course In Romance,TV Show,2023.0,Comedy,"234,800,000",234.8
0,Love Is Blind,TV Show,2020.0,Reality-Show,"229,700,000",229.7
0,Beef,TV Show,2023.0,Comedy,"221,100,000",221.1
0,The Diplomat,TV Show,2023.0,Drama,"214,100,000",214.1
0,Luther: The Fallen Sun,Movie,2023.0,Crime,"209,700,000",209.7
0,Perfil falso,TV Show,2023.0,Drama,"206,500,000",206.5
0,Vikings: Valhalla,TV Show,2022.0,History,"205,500,000",205.5
0,Extraction 2,Movie,2023.0,Action,"201,800,000",201.8
0,"XO, Kitty",TV Show,2023.0,Comedy,"200,700,000",200.7
0,Doctor Cha,TV Show,2023.0,Comedy,"194,700,000",194.7
0,Shadow and Bone,TV Show,2021.0,Fantasy,"192,900,000",192.9
0,Outer Banks,TV Show,2020.0,Drama,"184,000,000",184.0
0,Sweet Tooth,TV Show,2021.0,Superhero,"182,300,000",182.3
0,You People,Movie,2023.0,Comedy,"181,800,000",181.8
0,Perfect Match,TV Show,2023.0,Reality-Show,"176,800,000",176.8
0,Sex/Life,TV Show,2021.0,Drama,"175,500,000",175.5
0,The Marked Heart,TV Show,2022.0,Thriller,"174,300,000",174.3
0,Murder Mystery 2,Movie,2023.0,Comedy,"173,600,000",173.6
0,The Surrogacy,TV Show,2023.0,Drama,"172,400,000",172.4
0,Pablo Escobar: El Patrón del Mal,TV Show,2012.0,Crime,"170,100,000",170.1
0,Never Have I Ever,TV Show,2020.0,Comedy,"168,300,000",168.3
0,Your Place or Mine,Movie,2023.0,Comedy,"163,000,000",163.0
0,Chiquititas,TV Show,2013.0,Comedy,"162,000,000",162.0
0,Emily in Paris,TV Show,2020.0,Drama,"161,100,000",161.1
0,Alice in Borderland,TV Show,2020.0,Thriller,"157,600,000",157.6
0,Alchemy of Souls,TV Show,2022.0,Fantasy,"155,300,000",155.3
0,Outer Banks,TV Show,2020.0,Drama,"153,900,000",153.9
0,New Amsterdam,TV Show,2018.0,Drama,"153,000,000",153.0
0,Til Money Do Us Part,TV Show,2022.0,Drama,"152,100,000",152.1
