Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million,title,imdb_rating
0,the night agent,TV Show,2023.0,Action,"812,100,000",812.1,,
0,ginny & georgia,TV Show,2021.0,Drama,"665,100,000",665.1,,
0,the glory,TV Show,2022.0,Thriller,"622,800,000",622.8,,
0,wednesday,TV Show,2022.0,Fantasy,"507,700,000",507.7,,
0,queen charlotte: a bridgerton story,TV Show,2023.0,Drama,"503,000,000",503.0,,
0,you,TV Show,2018.0,Crime,"440,600,000",440.6,,
0,la reina del sur,TV Show,2011.0,Drama,"429,600,000",429.6,,
0,outer banks,TV Show,2020.0,Drama,"402,500,000",402.5,outer banks,80%
0,outer banks,TV Show,2020.0,Drama,"402,500,000",402.5,outer banks,80
0,ginny & georgia,TV Show,2021.0,Drama,"302,100,000",302.1,,
0,fubar,TV Show,2023.0,Action,"266,200,000",266.2,,
0,manifest,TV Show,2018.0,Thriller,"262,600,000",262.6,,
0,kaleidoscope,TV Show,2023.0,Crime,"252,500,000",252.5,,
0,firefly lane,TV Show,2021.0,Drama,"251,500,000",251.5,,
0,the mother,Movie,2023.0,Thriller,"249,900,000",249.9,,
0,physical: 100,TV Show,2023.0,Reality-Show,"235,000,000",235.0,,
0,crash course in romance,TV Show,2023.0,Comedy,"234,800,000",234.8,,
0,love is blind,TV Show,2020.0,Reality-Show,"229,700,000",229.7,love is blind,56%
0,love is blind,TV Show,2020.0,Reality-Show,"229,700,000",229.7,love is blind,56
0,beef,TV Show,2023.0,Comedy,"221,100,000",221.1,,
0,the diplomat,TV Show,2023.0,Drama,"214,100,000",214.1,,
0,luther: the fallen sun,Movie,2023.0,Crime,"209,700,000",209.7,,
0,perfil falso,TV Show,2023.0,Drama,"206,500,000",206.5,,
0,vikings: valhalla,TV Show,2022.0,History,"205,500,000",205.5,,
0,extraction 2,Movie,2023.0,Action,"201,800,000",201.8,,
0,"xo, kitty",TV Show,2023.0,Comedy,"200,700,000",200.7,,
0,doctor cha,TV Show,2023.0,Comedy,"194,700,000",194.7,,
0,shadow and bone,TV Show,2021.0,Fantasy,"192,900,000",192.9,,
0,outer banks,TV Show,2020.0,Drama,"184,000,000",184.0,outer banks,80%
0,outer banks,TV Show,2020.0,Drama,"184,000,000",184.0,outer banks,80
0,sweet tooth,TV Show,2021.0,Superhero,"182,300,000",182.3,,
0,you people,Movie,2023.0,Comedy,"181,800,000",181.8,,
0,perfect match,TV Show,2023.0,Reality-Show,"176,800,000",176.8,,
0,sex/life,TV Show,2021.0,Drama,"175,500,000",175.5,,
0,the marked heart,TV Show,2022.0,Thriller,"174,300,000",174.3,,
0,murder mystery 2,Movie,2023.0,Comedy,"173,600,000",173.6,,
0,the surrogacy,TV Show,2023.0,Drama,"172,400,000",172.4,,
0,pablo escobar: el patrón del mal,TV Show,2012.0,Crime,"170,100,000",170.1,,
0,never have i ever,TV Show,2020.0,Comedy,"168,300,000",168.3,never have i ever,78%
0,never have i ever,TV Show,2020.0,Comedy,"168,300,000",168.3,never have i ever,78
0,your place or mine,Movie,2023.0,Comedy,"163,000,000",163.0,,
0,chiquititas,TV Show,2013.0,Comedy,"162,000,000",162.0,chiquititas,
